1.0336 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
23.7357 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9CF663EE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B9CF6B5C10>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.7358 	EXP 	window1: mouseVisible = True
23.7358 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.7358 	EXP 	window1: recordFrameIntervals = False
23.9016 	EXP 	window1: recordFrameIntervals = True
24.0844 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
24.0845 	EXP 	window1: recordFrameIntervals = False
24.5822 	EXP 	Created Inst = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Inst', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Goal : Rating your current feeling', units='height', win=Window(...), wrapWidth=1)
25.1241 	EXP 	Created movie1 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, anchor=('center', 'center'), autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie1', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([  0., 130.]), size=None, units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
27.3316 	WARNING 	2.207498600007966: Video catchup needed, advancing self._nextFrameT from 0.0 to 0.03333333333333333
27.3316 	WARNING 	2.2075218000099994: Video catchup needed, advancing self._nextFrameT from 0.03333333333333333 to 0.06666666666666667
27.3316 	WARNING 	2.2075313000095775: Video catchup needed, advancing self._nextFrameT from 0.06666666666666667 to 0.1
27.3316 	WARNING 	2.2075396000000183: Video catchup needed, advancing self._nextFrameT from 0.1 to 0.13333333333333333
27.3316 	WARNING 	2.207547300000442: Video catchup needed, advancing self._nextFrameT from 0.13333333333333333 to 0.16666666666666666
27.3317 	WARNING 	2.2075547999993432: Video catchup needed, advancing self._nextFrameT from 0.16666666666666666 to 0.19999999999999998
27.3317 	WARNING 	2.2075622999982443: Video catchup needed, advancing self._nextFrameT from 0.19999999999999998 to 0.2333333333333333
27.3317 	WARNING 	2.207572400002391: Video catchup needed, advancing self._nextFrameT from 0.2333333333333333 to 0.26666666666666666
27.3317 	WARNING 	2.2075798000005307: Video catchup needed, advancing self._nextFrameT from 0.26666666666666666 to 0.3
27.3317 	WARNING 	2.207587099997909: Video catchup needed, advancing self._nextFrameT from 0.3 to 0.3333333333333333
27.3317 	WARNING 	Max reportNDroppedFrames reached, will not log any more dropped frames
27.7682 	EXP 	Created movie2 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, anchor=('center', 'center'), autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie2', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([  0., 130.]), size=None, units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
29.0848 	WARNING 	1.3165608999988763: Video catchup needed, advancing self._nextFrameT from 0.0 to 0.03333333333333333
29.0848 	WARNING 	1.3165834999963408: Video catchup needed, advancing self._nextFrameT from 0.03333333333333333 to 0.06666666666666667
29.0848 	WARNING 	1.3165933999989647: Video catchup needed, advancing self._nextFrameT from 0.06666666666666667 to 0.1
29.0849 	WARNING 	1.3166013000009116: Video catchup needed, advancing self._nextFrameT from 0.1 to 0.13333333333333333
29.0849 	WARNING 	1.316610399997444: Video catchup needed, advancing self._nextFrameT from 0.13333333333333333 to 0.16666666666666666
29.0849 	WARNING 	1.3166181999986293: Video catchup needed, advancing self._nextFrameT from 0.16666666666666666 to 0.19999999999999998
29.0849 	WARNING 	1.3166256999975303: Video catchup needed, advancing self._nextFrameT from 0.19999999999999998 to 0.2333333333333333
29.0849 	WARNING 	1.3166332999971928: Video catchup needed, advancing self._nextFrameT from 0.2333333333333333 to 0.26666666666666666
